policy,bw_mbit,obj_label,client,iteration,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total
lossaware,20,10K,h3,10,10240,22.0,15,1,57.965,58.354,1.8363,60.0026,1.4146,1.4038,0.0455,1.4889,31.0769,31.479,1.4839,32.1888,0.0,0,0.0,0.0,26.4059,26.292,0.8127,27.9226,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h4,1,10240,52.0,15,1,128.3073,127.485,6.0977,138.6687,0.6398,0.6426,0.0301,0.6828,64.8748,65.424,4.8136,71.0008,0.0,0,0.0,0.0,61.3483,60.879,3.2873,65.8283,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h4,2,10240,52.0,15,1,127.3826,128.671,5.6736,134.0451,0.6443,0.6367,0.0291,0.6924,64.8199,64.703,5.001,72.5968,0.0,0,0.0,0.0,61.9275,63.373,3.0829,64.9772,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h4,3,10240,52.0,15,1,128.7161,131.146,5.0598,134.0979,0.6374,0.6246,0.0256,0.6794,64.229,64.693,4.2741,70.1878,0.0,0,0.0,0.0,61.9647,61.361,2.8314,66.241,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h4,4,10240,52.0,15,1,130.5701,132.355,5.5507,136.118,0.6285,0.6189,0.0287,0.6742,66.5907,66.355,3.1889,71.0722,0.0,0,0.0,0.0,62.1041,62.92,3.5072,66.8707,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h4,5,10240,52.0,15,1,130.1939,130.946,5.1447,137.4087,0.6301,0.6256,0.0254,0.6649,66.1357,66.706,4.0956,71.5435,0.0,0,0.0,0.0,61.1609,61.131,2.3354,64.4542,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h4,6,10240,52.0,15,1,126.3667,128.729,6.8609,134.1885,0.6501,0.6364,0.037,0.7137,64.2332,65.898,4.4193,70.8747,0.0,0,0.0,0.0,59.3211,57.812,3.4955,64.3362,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h4,7,10240,52.0,15,1,130.3185,130.295,3.1965,134.8357,0.629,0.6287,0.0155,0.6523,65.5751,64.506,4.0628,72.1779,0.0,0,0.0,0.0,62.7586,62.939,2.8638,66.3176,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h4,8,10240,52.0,15,1,129.3718,128.478,4.6012,135.1835,0.634,0.6376,0.0227,0.6667,63.0193,64.175,2.8792,66.5918,0.0,0,0.0,0.0,59.938,59.926,2.0797,62.7514,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h4,9,10240,52.0,15,1,127.9296,130.226,7.1526,136.6718,0.6423,0.6291,0.0368,0.6985,65.3767,66.564,4.1862,70.933,0.0,0,0.0,0.0,61.6937,62.123,3.325,66.1986,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h4,10,10240,52.0,15,1,128.0003,128.122,4.358,135.0877,0.6407,0.6394,0.0218,0.6733,65.6242,66.659,3.3365,70.3117,0.0,0,0.0,0.0,60.8234,60.94,3.4183,66.4075,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware-disc,20,10K,h2,1,10240,6.0,15,1,17.3479,17.271,0.3171,18.0125,4.7236,4.7432,0.0845,4.8085,10.7083,10.656,0.2973,11.3006,0.0,0,0.0,0.0,7.2384,7.231,0.0477,7.3328,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
