policy,bw_mbit,obj_label,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total
lossaware-disc,20,1K,1024,,450,10,66.6124,56.361,48.3035,136.8625,0.2718,0.1453,0.2396,0.6251,33.8415,29.5465,24.1747,70.6075,0.0,0.0,0.0,0.0,33.3175,29.5185,23.9541,68.7416,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0
metrics,20,1K,1024,,450,10,65.7203,56.0365,47.3527,135.2834,0.2715,0.1462,0.2376,0.6256,33.4912,29.3025,23.8102,70.4258,0.0,0.0,0.0,0.0,32.7724,28.9075,23.4154,67.88,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0
static10,20,1K,1024,,450,10,65.6115,56.794,47.1784,135.7859,0.2735,0.1442,0.2405,0.6268,33.4499,29.378,23.7449,70.1337,0.0,0.0,0.0,0.0,32.7626,29.346,23.3732,68.1016,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0
statichigh,20,1K,1024,,450,10,65.6888,56.196,47.2294,135.2965,0.2718,0.1458,0.2383,0.6259,33.4041,29.267,23.7599,69.9834,0.0,0.0,0.0,0.0,32.6971,28.9655,23.3212,67.7848,24.0,24.0,0.0,24.0,24.0,24.0,0.0,24.0,0.0,0
ewma,20,1M,1048576,,450,10,519.2704,491.331,70.446,614.3021,16.4323,17.0732,2.0621,18.5968,486.7865,465.2335,47.8343,546.9129,0.7756,0.0,1.6847,6.0,30.6904,26.7385,18.6369,55.3939,72.9644,87.5,35.8585,110.0,86.2178,102.0,38.0127,126.0,22.889,0
lossaware,20,1M,1048576,,450,10,521.2613,491.6625,80.8326,613.6786,16.4102,17.0617,2.127,18.5963,488.6617,465.269,61.1544,546.9298,0.1044,0.0,0.5341,0.0,30.7307,26.791,18.6003,55.3958,70.4889,87.0,38.6915,110.0,85.6178,102.0,39.459,126.0,4.444,134
lossaware-disc,20,1M,1048576,,450,10,520.639,491.5975,75.9819,613.5613,16.4097,17.064,2.0937,18.5953,488.1292,465.4095,54.9707,546.9598,0.1111,0.0,0.6052,0.0,30.704,26.756,18.6235,55.3825,70.52,88.5,39.0706,110.0,85.5622,102.0,39.7624,126.0,4.444,144
metrics,20,1M,1048576,,450,10,582.7292,524.321,166.211,956.4248,15.2589,15.999,3.1911,18.5705,550.474,497.5985,147.3639,890.1305,0.0,0.0,0.0,0.0,30.1151,25.127,18.7837,55.5558,10.0,10.0,0.0,10.0,69.4667,61.0,40.3599,128.0,0.0,0
static10,20,1M,1048576,,450,10,572.8277,524.4995,143.7191,718.618,15.36,15.9935,2.9978,18.5688,540.5846,497.129,124.4308,651.6554,0.0,0.0,0.0,0.0,30.1383,25.1285,18.83,55.5285,10.0,10.0,0.0,10.0,70.7867,61.0,40.8911,128.0,0.0,0
statichigh,20,1M,1048576,,450,10,527.4325,499.3935,76.3688,639.1906,16.2222,16.7976,2.2053,18.5948,495.3356,473.452,53.1355,575.2504,0.0,0.0,0.0,0.0,30.3372,25.229,18.9242,55.8072,24.0,24.0,0.0,24.0,73.66,47.0,47.73,142.0,0.0,0
